tweet,username,hash-tags,Date,Day,tweet_id,likes,retweets,polarity
Do you think #Congress has the spine to do anything about social media election rigging #censorship? #MAGA #WWG1WGA #StopTheBias #Trump2020,LanceTruPatriot,"['Congress', 'censorship', 'MAGA', 'WWG1WGA', 'StopTheBias', 'Trump2020']",2019-05-04,Sat,1124787140880162817,0,0.1,0.03333333333333333
America’s Hostages #FANNIEGATE The Long GSE Wail continues.. via #CNN #FoxNews #BREAKING #POTUS #Corruption #FHFA #Oligarchy #BananaRepublic #MAGA #AltFolk #Resist #Congress #4DChess #25thAmendment #2019TooBigToRig #Americana #Film,fercrishart,"['FANNIEGATE', 'CNN', 'FoxNews', 'BREAKING', 'POTUS', 'Corruption', 'FHFA', 'Oligarchy', 'BananaRepublic', 'MAGA', 'AltFolk', 'Resist', 'Congress', '4DChess', '25thAmendment', '2019TooBigToRig', 'Americana', 'Film']",2019-05-04,Sat,1124786139636744192,0,0.0,-0.05
HOW does #Congress sit on their COLLECTIVE Thumb &amp ALLOW this 2 go by UN CHALLENGED? Bc They're #ComplicitAF #traitortrump #TraitorGOP #TraitorRNC,runner2469,"['Congress', 'ComplicitAF', 'traitortrump', 'TraitorGOP', 'TraitorRNC']",2019-05-04,Sat,1124785884035813376,2,2.0,0.0
Western Canada 🇨 Aesthetic Summit Conference 2019 in Calgary Alberta lecturing on complications #aesthetic #surgery #congress #skin #aesthetics #medicine #dermatology #skincare #cancer #laser,ptreacy,"['aesthetic', 'surgery', 'congress', 'skin', 'aesthetics', 'medicine', 'dermatology', 'skincare', 'cancer', 'laser']",2019-05-04,Sat,1124783856513691648,0,0.0,0.0
please hear us Our future depends on #Congress standing up for the law #TrumpRussia #ImpeachTrumpNow #TrumpLies,Weedbike,"['Congress', 'TrumpRussia', 'ImpeachTrumpNow', 'TrumpLies']",2019-05-04,Sat,1124783174477725696,0,0.0,0.0
More code complaints against #Modi than any other PM #Congress #LokSabhaElections2019,thenglishpost,"['Modi', 'Congress', 'LokSabhaElections2019']",2019-05-04,Sat,1124780934241243137,0,0.0,0.1875
Ekphrasis and Visual Imagination in Antiquity 06/05/2019 New Haven (CT USA) #congress #NewHaven #USA,fasticongress,"['congress', 'NewHaven', 'USA']",2019-05-04,Sat,1124780587854778368,0,0.0,0.06818181818181818
TRAITOR DEMOCRATS BUT NEVER #TraitorTrump #POTUS #Congress,AllergicToCNN,"['TraitorTrump', 'POTUS', 'Congress']",2019-05-04,Sat,1124779003255111685,1,0.0,0.0
"here's the thing there was NO ""thorough fbi investigation (May 2 2019 22:03 EDT #CONGRESS #MCCONNELL #FAIL",ActivistBowen2,"['CONGRESS', 'MCCONNELL', 'FAIL']",2019-05-04,Sat,1124777291043590144,0,0.0,-0.5
Wisdom Love and Friendship in Ancient Philosophy 31/05/2019 Athens (Greece) #congress #Athens #Greece,fasticongress,"['congress', 'Athens', 'Greece']",2019-05-04,Sat,1124777269854134273,0,0.0,0.5
As a kid I was taught a song in school 'त हिन्द बनेग मुस्लमा बनेगा इंसा क औला ह इंसा बनेगा How many #Congress guys understand the meaning of this song They are scared of n r hell bent to divide much peaceful India since 2014 on the basis of religion.,RituDreams,['Congress'],2019-05-04,Sat,1124776084371673088,4,1.0,0.375
Fill In The Blank Please Chowkidaar ______ #JaayegaTohModiHi #ModiBhagao #ModiMuktBharat #ModiMukt #WahModijiWah #BJPMukt #Congress #RahulGandhi #SoniaGandhi #ChowkidarHiChorHai #Chowkidar #PriyankaGandhi #PriyankaVadra #ModiWave #ChorHai #ModiBiopic #ModiwithAkshay,ajbir_brar,"['JaayegaTohModiHi', 'ModiBhagao', 'ModiMuktBharat', 'ModiMukt', 'WahModijiWah', 'BJPMukt', 'Congress', 'RahulGandhi', 'SoniaGandhi', 'ChowkidarHiChorHai', 'Chowkidar', 'PriyankaGandhi', 'PriyankaVadra', 'ModiWave', 'ChorHai', 'ModiBiopic', 'ModiwithAkshay']",2019-05-04,Sat,1124775449228242944,0,0.0,0.0
There is not a moment to lose #Congress must act deliberately but with expectation of needing #subpeona use #ContemptOfCongress charges and force compliance #ImpeachmentHearingsNow at least and put #impeachment on the table,careyjimzz,"['Congress', 'subpeona', 'ContemptOfCongress', 'ImpeachmentHearingsNow', 'impeachment']",2019-05-04,Sat,1124775251643109377,1,0.0,-0.3
It appears that #Boeing repeatedly threw large sums of money and lobbyists at #Congress resulting in Congress directing the #FAA to make the reviews of airplanes and their certifications for airworthiness “quicker and less costly.,RichardMBowen,"['Boeing', 'Congress', 'FAA']",2019-05-04,Sat,1124774953969123329,0,0.0,0.023809523809523808
Former army generals debunk Congress claims on surgical strikes #armygenerals #Congress #SurgicalStrikes via _in,RD_BANA,"['armygenerals', 'Congress', 'SurgicalStrikes']",2019-05-04,Sat,1124774661026271233,1,0.0,0.0
Comparative Approaches to the Chinese and Byzantine Imperial Systems 16-17-18/05/2019 Edinburgh (Scotland) #congress #Edinburgh #Scotland,fasticongress,"['congress', 'Edinburgh', 'Scotland']",2019-05-04,Sat,1124774202177982465,0,0.0,0.0
"""Flood the phone lines Monday morning! on #AMJoy #Congress #RuleOfLaw #ImpeachTrumpNow #ImpeachTrump #ConstitutionalCrisis",LoraFisherPOV,"['AMJoy', 'Congress', 'RuleOfLaw', 'ImpeachTrumpNow', 'ImpeachTrump', 'ConstitutionalCrisis']",2019-05-04,Sat,1124773962280357888,0,0.0,0.0
2 Do we have similarity with the Nehru dynasty ??? #RahulGandhi (s fate will be like that of Bahadur Shah Zafar (s fate ... The #Congress is destined to be decimated in the battle of Delhi in 2019 through the EVMs ...,pkm1999,"['RahulGandhi', 'Congress']",2019-05-04,Sat,1124773170312093698,0,0.0,0.0
#JASON &amp the Bureaucrats: #Pentagon muckety-mucks tried to cut off #funding for an elite group of independent #scientific overseers. Then #Congress intervened.,redhed67,"['JASON', 'Pentagon', 'funding', 'scientific', 'Congress']",2019-05-04,Sat,1124773073830522883,0,0.0,0.0
"1 """"The Mughals were a branch of the Timurid dynasty of Turco-Mongol origin from Central Asia Their power rapidly dwindled during the 18th century &amp the last emperor was deposed in 1857 with the establishment of the British Raj "" . #RahulGandhi #Congress",pkm1999,"['RahulGandhi', 'Congress']",2019-05-04,Sat,1124772924580356097,0,0.0,0.0
