tweet,username,hash-tags,Date,Day,tweet_id,likes,retweets,polarity
Today's Gatbandhan like this :joy::joy::joy::joy::joy::joy::joy::joy::joy: Everyone wants chair :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing: #LokSabhaElections2019 #gatbandhan2019 #Congress #BSP #SP #TMC #RJD #TDP #JD #JKNC,AarohiSatpute,"['LokSabhaElections2019', 'gatbandhan2019', 'Congress', 'BSP', 'SP', 'TMC', 'RJD', 'TDP', 'JD', 'JKNC']",2019-05-07,Tue,1125645856571645953,0,0,0.2
It used to happen in Bihar in the 90's which Lalu Yadav tried to kick off such ediction from society Today Lalu is in jail not for corruption but for his struggle to bring equality in the society #Laluwadi #Lalayadaw #Rjd,Cool_Dude2,"['Laluwadi', 'Lalayadaw', 'Rjd']",2019-05-07,Tue,1125642151310708736,0,0,-0.05
Do you agree? Vande Mataram! Jai ho n Jai Hind! President Sarvoday Foundation #ModiAaneWalaHai #ModiWave #ModiHaiToVikasHai #KashiBoleNaMoNaMo #RajivGandhi #RJD #RahulCitizenship #RahulGandhi #RanjanGogoi #shipping #ship #PragyaThakur #JeetegaToModiHi,Captaindksingh,"['ModiAaneWalaHai', 'ModiWave', 'ModiHaiToVikasHai', 'KashiBoleNaMoNaMo', 'RajivGandhi', 'RJD', 'RahulCitizenship', 'RahulGandhi', 'RanjanGogoi', 'shipping', 'ship', 'PragyaThakur', 'JeetegaToModiHi']",2019-05-07,Tue,1125584761487970305,0,0,0.0
_Diego_Prods And I covering the #RideForRonnie yearly benefit for Interviews with #WendyDio and #EddieTrunk coming soon rIddance #RJD #Dio #RockBenefit #Photographer #Journalist #MusicJournalist,metalxcandy,"['RideForRonnie', 'WendyDio', 'EddieTrunk', 'RJD', 'Dio', 'RockBenefit', 'Photographer', 'Journalist', 'MusicJournalist']",2019-05-06,Mon,1125501060611694592,0,0,0.0
#ShivrajSinghChouhan protests against #KamalNath govt holding ‘lantern’ has he joined #RJD asks Twitter India News,_deepaknagpal,"['ShivrajSinghChouhan', 'KamalNath', 'RJD']",2019-05-06,Mon,1125298574432956417,0,0,0.0
Joke in #Bhopal The way he is being treated in #BJP #Shivraj is preparing to join 's #RJD,tohidivity,"['Bhopal', 'BJP', 'Shivraj', 'RJD']",2019-05-06,Mon,1125287058832904193,1,0,0.0
Like #Lalu of #RJD and others Court cases will be stretched for decades till accused are much OLDER and then suffer JAIL दे कर जेजे.काही. आत्म भोगित नंत,AAPVora,"['Lalu', 'RJD']",2019-05-06,Mon,1125285281660170240,0,0,0.00555555555555555
"A section of media has been ""used by the #BJP leaders to ""beat their drums"" but reality on the ground is vastly different alleges #RJD candidate from #Bihar's Madhepura constituency",NewIndianXpress,"['BJP', 'RJD', 'Bihar']",2019-05-05,Sun,1125135628017053696,96,12,0.0
Close the city and tell the people That something's coming to call Death and darkness are rushing forward To take a bite from the wall oh You've nothing to say They're breaking away If you listen to fools The mob rules Heavy Metal 1980 #BlackSabbath #RJD #HeavyMetal,ShadownexEdge,"['BlackSabbath', 'RJD', 'HeavyMetal']",2019-05-05,Sun,1125113115798990850,24,5,-0.2
What is #Opposition’s (#Congress #TMC #BSP #SP #MahaGathbandhan #RJD seasonal business #LokSabhaElections2019,naashonomics,"['Opposition', 'Congress', 'TMC', 'BSP', 'SP', 'MahaGathbandhan', 'RJD', 'LokSabhaElections2019']",2019-05-05,Sun,1125098261063168000,0,0,0.0
For many regional parties like #RJD #SP #BSP #NCP #DMK #TMC #RLSP and others it's going to be do or die situation won't be a surprise if many of them get 0 seat #UP results will be more interesting Let's vote for those who can take our country to next level &amp lead by example,crazzybulll,"['RJD', 'SP', 'BSP', 'NCP', 'DMK', 'TMC', 'RLSP', 'UP']",2019-05-05,Sun,1125093516659515392,0,0,0.4
In lighter vein Former #MP chief minister Shivraj Singh Chouhan campaigning for #RJD ahead of fifth phase of,bisnujha,"['MP', 'RJD']",2019-05-05,Sun,1125069272986689537,1,0,0.0
Is he mistakenly supporting RJD #rjd,PankajS67930916,['rjd'],2019-05-05,Sun,1125067312690647040,1,1,0.25
_Gaurav _lokhande #RJD almost,SocioPoliticalW,['RJD'],2019-05-05,Sun,1125045902769438721,0,0,0.0
Just in #RJD sources assert #Congress has agreed to suspend #ShakilAhmed &amp MLA #BhavnaJha in next 60 min after #MahaGathBandhan threatened to sever Alliance on Election Eve Shakil Ahmed announced in a presscon that he had #AICC blessings to contest as an Independent.,DeepalTrevedie,"['RJD', 'Congress', 'ShakilAhmed', 'BhavnaJha', 'MahaGathBandhan', 'AICC']",2019-05-05,Sun,1125001177635143680,13,5,0.0
Its unpardonable tweet of #RJD . Whole party have lost their minds even they don't know what to write or not . अत घृणित,ImAnkitRajendra,['RJD'],2019-05-05,Sun,1124841553615175680,1,0,0.2
_ CPI(ML)L is supporting #RJD in 2019 Refer the 2009 &amp 2014 parliament election results of #Pataliputra Hope you can understand why I am giving #Pataliputra to RJD in 2019,partha2019LS,"['RJD', 'Pataliputra', 'Pataliputra']",2019-05-05,Sun,1124829399251947521,10,0,0.25
In #Bihar #RJD and #Congress is useless is a great administrator who knows the strength of NDA and PM Modi so people there must come out of their caste and creed and support JDU and vote them with a big majority!,ganabhat,"['Bihar', 'RJD', 'Congress']",2019-05-04,Sat,1124803897644732416,1,0,0.10000000000000002
_Siddharth Much Better than all other parties.. You mentioned #Congress #AAP #RJD Most corrupted parties of,haraprasad7,"['Congress', 'AAP', 'RJD']",2019-05-04,Sat,1124745522630332417,0,0,0.2916666666666667
Yes we r cader of #RJD due to ji ideology but since last few years i don't know what internal things happen aaj jo party ka strength badha to humlogo kae karan lakin or aaj kuch admi bahut karib ho gaya jab party ko jarurat thi tab yah log kaha thae isliyae/,ro02079851,['RJD'],2019-05-04,Sat,1124738037567635457,0,0,-0.08125
Who's the most hated politician in #india?? #HogiCongressKiJeet #BharatKaGarvModi #GujaratDay #AndhraPradesh #Bihar #Kerala #MadhyaPradesh #Begusarai #bjp #tdp #cpi #rjd #CongressMuktBharat #Modi #RahulGandhi #RahulGandhiToIndiaToday #ChandrababuNaidu #DigVijaySingh #lalu,bharathbunny27,"['india', 'HogiCongressKiJeet', 'BharatKaGarvModi', 'GujaratDay', 'AndhraPradesh', 'Bihar', 'Kerala', 'MadhyaPradesh', 'Begusarai', 'bjp', 'tdp', 'cpi', 'rjd', 'CongressMuktBharat', 'Modi', 'RahulGandhi', 'RahulGandhiToIndiaToday', 'ChandrababuNaidu', 'DigVijaySingh', 'lalu']",2019-05-04,Sat,1124717347539804166,0,2,-0.2
In conversation with 's . #RJD #Siwan,HenaShahab_RJD,"['RJD', 'Siwan']",2019-05-04,Sat,1124714235584495617,44,6,0.0
Neither of them is in the fray in #Hajipur parliamentary seat but #LJP chief and Union Minister #RamVilasPaswan and #RJD chief #LaluPrasad's influence hangs heavy over the #Bihar constituency and the fight there is in essence between them. Photo IANS,ians_india,"['Hajipur', 'LJP', 'RamVilasPaswan', 'RJD', 'LaluPrasad', 'Bihar']",2019-05-04,Sat,1124684936403775490,0,0,-0.2
#PM #Modi #Nitish Ji removed 'Lalten (#RJD's symbol with hard work &amp provided electricity to every household #Bihar,krishijagran,"['PM', 'Modi', 'Nitish', 'RJD', 'Bihar']",2019-05-04,Sat,1124637182952534016,4,4,-0.2916666666666667
"#LokSabhaElections2019 ""Nitish ji removed (#RJD symbol the lantern and provided electricity to every household He is now working to illuminate every house with LED bulbs, #NarendraModi said in his #Bihar rally at Valmiki Nagar today Follow LIVE",firstpost,"['LokSabhaElections2019', 'RJD', 'NarendraModi', 'Bihar']",2019-05-04,Sat,1124635990725783552,7,2,0.13636363636363635
A total of 51 constituencies are going to the polls in the Phase five of LokSabha Elections on 6th May. #BSP #SP #BJP #Congress #RJD #LokSabhaElections2019 #PhaseFive,AsiavilleNews,"['BSP', 'SP', 'BJP', 'Congress', 'RJD', 'LokSabhaElections2019', 'PhaseFive']",2019-05-04,Sat,1124607096001929216,0,0,0.0
Shelter Home Murders 'Big Names Involved #RJD chief #TejashwiYadav says along with #BrajeshThakur there are other 'big names involved in the alleged murder of 11 girls from a Bihar shelter home,GoNews24x7,"['RJD', 'TejashwiYadav', 'BrajeshThakur']",2019-05-04,Sat,1124606265944993792,5,4,-0.05625
_SKS17 _p_mishra _Sahib No I am not agree that it's a sin to be #brahman but joining #Congress #RJD #SP etc can be a sin like position for us all,dps270,"['brahman', 'Congress', 'RJD', 'SP']",2019-05-04,Sat,1124580531511775232,3,1,0.0
What to do when there is not deserving candidate #rjd who do caste politics #congress Rahul hatoo Congress bachoo #vvip kam tha jo ek aur aa gya caste politics kar na #bjp batka hua bacha kya cha ta hai life sa pata,Saurabhmonu17,"['rjd', 'congress', 'vvip', 'bjp']",2019-05-04,Sat,1124563415886749696,0,0,-0.3
Learn Arabic for Quran This Ramadan #RahulGandhi #arunjaitley #Bihar #AIMIM #RJD #ABP #Ramzan #CNN #BBC #HTownRush #Islam #MasoodAzhar #London #AmericalIslamic #Europe,MuslimHindi,"['RahulGandhi', 'arunjaitley', 'Bihar', 'AIMIM', 'RJD', 'ABP', 'Ramzan', 'CNN', 'BBC', 'HTownRush', 'Islam', 'MasoodAzhar', 'London', 'AmericalIslamic', 'Europe']",2019-05-03,Fri,1124341817158307840,0,0,0.0
It is warranted when you recd huge Black money payments from dirty politician -nonsensical interv different. However collusion to screw India by indulging in corrupt acts receiving unlawful bribery funds receiving money recd from Pakistan are CRIMES. #AAP #RJD,ScoopGuruNews,"['AAP', 'RJD']",2019-05-03,Fri,1124324931771088896,0,0,-0.1733333333333333
Leaders of the Rashtriya Janata Dal (#RJD and its allies in #Bihar on May 3 slammed a derogatory tweet about RJD chief #LaluPrasad's wife and former Bihar Chief Minister #RabriDevi by a senior journalist of a Hindi TV news channel. Photo IANS,ians_india,"['RJD', 'Bihar', 'LaluPrasad', 'RabriDevi']",2019-05-03,Fri,1124289024909123585,0,0,0.0
